City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,opuwo,-18.0607,13.84,19.11,26,9,2.38,NA,1697591424
273,howrah,22.5892,88.3103,26.0,94,0,0.0,IN,1697591424
274,hithadhoo,-0.6,73.0833,27.29,74,9,6.08,MV,1697591425
275,black forest,39.0131,-104.7008,17.94,26,0,5.14,US,1697591425
276,impfondo,1.6381,18.0667,21.45,100,99,0.66,CG,1697591425
277,arraial do cabo,-22.9661,-42.0278,22.82,92,75,5.14,BR,1697591265
278,mamontovo,52.7055,81.6244,5.91,64,31,2.73,RU,1697591426
279,kununurra,-15.7667,128.7333,32.99,21,0,2.57,AU,1697591246
280,jamestown,42.097,-79.2353,9.77,100,100,3.6,US,1697591228
281,sao martinho,39.5144,-9.1311,19.51,95,78,2.68,PT,1697591427
282,turbat,26.0023,63.044,25.12,83,23,2.49,PK,1697591427
283,sangsong-ni,39.1694,126.8856,14.82,47,100,2.46,KP,1697591427
284,san andres,12.5847,-81.7006,29.01,84,20,4.12,CO,1697591403
285,saipan,15.1355,145.701,29.39,84,0,7.2,MP,1697591427
286,nyurba,63.2842,118.3319,-7.72,99,95,1.79,RU,1697591428
287,san luis,-33.295,-66.3356,15.64,19,3,9.83,AR,1697591428
288,galle,6.0367,80.217,25.01,90,100,3.52,LK,1697591428
289,carauari,-4.8828,-66.8958,26.99,72,83,0.6,BR,1697591429
290,azadshahr,34.7909,48.5707,10.38,53,0,1.27,IR,1697591429
291,xining,36.6167,101.7667,4.74,72,100,1.89,CN,1697591429
292,prado,-17.3411,-39.2208,23.03,83,11,3.63,BR,1697591429
293,cidade velha,14.9167,-23.6167,27.33,72,1,3.49,CV,1697591430
294,huarmey,-10.0681,-78.1522,20.2,85,100,4.6,PE,1697591430
295,dawesville,30.9224,-84.0091,14.64,82,0,0.0,US,1697591430
296,chiredzi,-21.05,31.6667,18.77,70,100,3.21,ZW,1697591430
297,jiayuguan,39.8167,98.3,2.82,77,100,4.22,CN,1697591431
298,mitu,1.1983,-70.1733,25.63,76,100,0.85,CO,1697591431
299,shalya,57.2471,58.7298,4.28,65,37,5.37,RU,1697591431
300,patterson,37.4716,-121.1297,28.88,51,0,2.97,US,1697591431
301,sao jose da coroa grande,-8.8978,-35.1478,23.65,82,100,3.86,BR,1697591432
302,las khorey,11.1595,48.1967,26.73,77,97,2.68,SO,1697591432
303,posse,-14.0931,-46.3694,24.2,22,0,3.39,BR,1697591432
304,mount pearl,47.5166,-52.7813,4.36,90,100,2.06,CA,1697591432
305,qaqortoq,60.7167,-46.0333,-1.01,50,8,4.39,GL,1697591433
306,beloyarskiy,63.7119,66.6722,8.89,93,96,2.68,RU,1697591357
307,baukau,51.5526,7.2042,7.81,83,100,2.24,DE,1697591433
308,taltal,-25.4,-70.4833,16.74,81,98,1.66,CL,1697591434
309,kapuskasing,49.4169,-82.4331,5.37,85,0,2.13,CA,1697591434
310,north bend,43.4065,-124.2243,17.91,82,0,2.57,US,1697591435
311,maumere,-8.6199,122.2111,29.04,59,6,1.39,ID,1697591435
312,newnham,-41.3833,147.1333,17.59,39,5,7.2,AU,1697591435
313,petauke,-14.2426,31.3253,18.9,92,100,2.47,ZM,1697591435
314,praia da vitoria,38.7333,-27.0667,21.53,97,100,7.28,PT,1697591436
315,jayapura,-2.5333,140.7,31.66,68,33,1.72,ID,1697591436
316,paharpur,32.1038,70.9724,20.15,62,2,1.32,PK,1697591436
317,magadan,59.5667,150.8,0.85,75,0,4.92,RU,1697591437
318,nova sintra,14.8667,-24.7167,25.38,71,0,2.56,CV,1697591437
319,klyuchi,52.2667,79.1667,7.25,52,11,3.22,RU,1697591438
320,tamanrasset,22.785,5.5228,23.18,18,99,2.08,DZ,1697591438
321,priargunsk,50.3691,119.1012,4.24,54,99,5.43,RU,1697591439
322,miles city,46.4083,-105.8406,14.54,33,20,9.77,US,1697591439
323,alvaraes,-3.2208,-64.8042,26.79,70,35,0.68,BR,1697591440
324,polillo,14.7122,121.9392,27.73,84,65,5.75,PH,1697591440
325,fengcheng,40.4536,124.0717,11.72,86,100,1.11,CN,1697591440
326,igrim,63.1906,64.4162,7.23,84,86,4.02,RU,1697591441
327,cody,44.5263,-109.0565,14.12,35,100,6.17,US,1697591192
328,meulaboh,4.1363,96.1285,25.33,84,100,2.22,ID,1697591441
329,kalianget,-7.05,113.9333,28.54,69,49,5.58,ID,1697591442
330,mao,39.8885,4.2658,23.31,88,0,3.09,ES,1697591442
331,winneba,5.3511,-0.6231,24.59,90,79,2.3,GH,1697591443
